Latitude,Longitude
47.49368,21.60705
47.48803,21.59775
47.48061,21.59569
47.47506,21.58586
47.47275,21.58853
47.47893,21.60058
47.47754,21.60599
47.49192,21.62873
47.49824,21.63285
47.50566,21.64487
47.50766,21.64149
47.50021,21.62873
47.49869,21.61729
